t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.75546700,-1.47599100,�,�,�,�,-3.38363100,2.65209600,�,�,�,�,-5.13130500,-3.46581900,�,�,�,�
0.00104167,1.75000300,-1.48055500,-3.44789200,-2.79198400,�,�,-3.38455500,2.65031700,-0.50913980,-1.59897400,�,�,-5.13583000,-3.47036000,-3.39983600,-4.16267600,�,�
0.00208333,1.74828400,-1.48180800,-0.68136860,-0.36889580,3112.09200000,2307.86200000,-3.38469200,2.64876500,0.04405065,-0.26567720,361.42130000,1206.17900000,-5.13838800,-3.47449100,2.72799000,1.51684700,4968.41200000,3623.46200000
0.00312500,1.74858300,-1.48132400,2.70945900,1.83167000,1723.23000000,1491.41700000,-3.38446300,2.64976400,0.23754180,1.21218400,1576.60100000,2252.53300000,-5.13014700,-3.46720000,8.24889500,5.18400900,2201.20100000,1838.59500000
0.00416667,1.75392900,-1.47799200,3.67108300,3.03350100,-3460.11600000,18274.43000000,-3.38419700,2.65129000,2.92696800,3.96703800,-3323.69200000,13941.26000000,-5.12120300,-3.46369100,6.90931700,3.96061600,-3473.75300000,1332.49000000
0.00520833,1.75623100,-1.47500400,-4.32837900,35.06168000,-5382.68300000,30830.61000000,-3.37836500,2.65802800,-4.48546300,27.87684000,-4487.70000000,24370.57000000,-5.11575300,-3.45894800,1.07802300,7.90916700,-8727.73700000,3496.82300000
0.00625000,1.74491100,-1.40494600,-9.41049500,75.33198000,-2259.03200000,18382.26000000,-3.39354200,2.70936700,-10.29576000,59.09656000,-7066.50500000,15363.44000000,-5.11895700,-3.44721300,-11.07776000,12.01317000,-10352.35000000,2768.54300000
0.00729167,1.73662600,-1.31806200,-7.71806800,72.60931000,16.02486000,-11674.38000000,-3.39981500,2.78114600,-15.23024000,60.78896000,956.55320000,-10479.16000000,-5.13883100,-3.43392100,-21.79420000,13.32985000,-610.14990000,-232.72740000
0.00833333,1.72883200,-1.25367700,-9.26340700,48.65093000,1531.09200000,-21560.21000000,-3.42527200,2.83601000,-13.15616000,35.93428000,4502.28700000,-18989.41000000,-5.16436200,-3.41944300,-13.54748000,11.87340000,6575.37500000,-1938.43300000
0.00937500,1.71732700,-1.21670600,-5.81756000,26.72728000,-428.64090000,-11269.52000000,-3.42722400,2.85600900,-1.38178700,17.80517000,6083.29700000,-11370.22000000,-5.16705500,-3.40918500,-4.32700900,8.78355100,5555.05900000,-2464.62300000
