t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.99309600,-3.58385700,�,�,�,�,-3.24981300,5.45459400,�,�,�,�,-4.99577500,-4.76017200,�,�,�,�
0.00104167,2.00083700,-3.61250800,2.34048100,-16.15041000,�,�,-3.24773400,5.43454400,2.99717900,-11.18089000,�,�,-4.98230300,-4.75514300,3.31006500,5.71131700,�,�
0.00208333,1.99797200,-3.61750400,-0.13311380,-1.20272000,290.15960000,7145.38900000,-3.24356900,5.43130100,1.90871200,-2.47993700,-1313.52100000,6285.73000000,-4.98887900,-4.74827300,-0.35011790,5.68067200,-3613.14700000,1636.64300000
0.00312500,2.00055900,-3.61501400,4.17799100,-1.32834000,1662.02600000,5232.42600000,-3.24375800,5.42937800,-0.44223700,0.59438510,-2863.26400000,5171.52800000,-4.98303200,-4.74330800,-0.29491760,8.23770200,-1184.35100000,2417.05300000
0.00416667,2.00667600,-3.62027200,3.74360200,6.47612100,-4943.50800000,6676.14200000,-3.24449000,5.43253900,-3.44127700,8.16757300,-2230.25400000,5445.15000000,-4.98949300,-4.73111100,-5.46297500,11.82235000,-1610.82500000,-842.44140000
0.00520833,2.00835900,-3.60152200,-5.89778700,16.60338000,-2543.05900000,2243.39100000,-3.25092700,5.44639300,-5.87682600,13.08679000,-240.22930000,670.64620000,-4.99441300,-4.71867800,-2.86146300,6.75873200,-4034.78000000,-2752.01900000
0.00625000,1.99438900,-3.58568100,-4.64870400,9.86759900,3197.13300000,-7626.05500000,-3.25673400,5.45980300,-3.72794700,9.28336400,1760.32900000,-4342.52200000,-4.99545400,-4.71703100,-11.88714000,4.21711000,1067.76300000,-2571.27600000
0.00729167,1.99867400,-3.58096500,4.31138200,0.03186283,5685.08900000,-4268.28200000,-3.25869400,5.46573400,-1.74470100,3.37576100,1801.25800000,-4495.18400000,-5.01917800,-4.70989300,-6.35876100,3.38923900,6797.44600000,178.12200000
0.00833333,2.00337100,-3.58561500,5.81372200,-0.16114020,-2112.56800000,-1062.94700000,-3.26036800,5.46683600,-0.37597310,-0.06981226,527.81040000,-2972.56300000,-5.00870200,-4.70997000,8.71196600,2.81014700,6803.58000000,-1255.07400000
0.00937500,2.01078600,-3.58130000,1.11253500,0.24571320,-4073.14300000,1400.61100000,-3.25947700,5.46558800,-0.16661400,-2.60693100,956.11490000,-1776.58300000,-5.00102800,-4.70403800,5.37103100,2.54346300,-2373.21300000,-2079.12300000
0.01041667,2.00568900,-3.58510300,-4.61406000,0.44396810,-3081.66600000,-1267.50100000,-3.26071600,5.46140500,0.85569180,-4.01297900,336.50110000,290.47270000,-4.99751200,-4.70467100,3.38789600,-2.55538100,700.36990000,-5037.63800000
0.01145833,2.00117300,-3.58037500,-4.36560100,-0.01761926,4414.17900000,-4902.44400000,-3.25769400,5.45722800,1.46920500,-2.07584400,2099.89900000,-2019.07900000,-4.99397000,-4.70936200,6.65408000,-7.61369300,-2322.65500000,-3440.06300000
0.01250000,1.99659400,-3.58514000,3.41736600,-10.77079000,3097.95700000,-3466.35800000,-3.25765500,5.45708000,3.96798300,-6.72660300,781.48470000,-1200.96000000,-4.98365000,-4.72053300,0.78064830,-10.38152000,-6494.82000000,1224.83600000
0.01354167,2.00829300,-3.60281500,5.18845400,-9.43507700,-187.62610000,3509.98400000,-3.24942800,5.44321400,4.85882500,-7.55746100,-1084.11200000,2283.01100000,-4.99234400,-4.73099000,-9.74891100,-5.20963900,-3267.58800000,4340.24000000
0.01458333,2.00740300,-3.60479600,0.05414602,-0.60594960,-2200.53500000,5702.31200000,-3.24753200,5.44133500,0.47211970,0.31207480,-1727.03600000,4659.89600000,-5.00396000,-4.73138600,-5.87719800,-0.05496581,6082.89100000,4241.63400000
0.01562500,2.00840500,-3.60407700,1.63110200,1.60789600,2318.93600000,2365.90000000,-3.24844400,5.44386400,1.03684600,1.99497100,206.95250000,1218.03700000,-5.00458800,-4.73110500,3.97685500,2.68518000,6741.33300000,2097.76300000
0.01666667,2.01080100,-3.60144600,4.61581100,4.16567900,-4382.82700000,3494.39200000,-3.24537200,5.44549200,1.80547500,2.31607200,-1280.00700000,-404.21210000,-4.99567500,-4.72579200,8.70155500,4.97648000,1454.08400000,1020.59600000
0.01770833,2.01802200,-3.59539800,-5.20051100,8.79798400,-3421.26200000,854.34320000,-3.24468300,5.44868900,-1.86828300,1.63505900,-1425.88300000,-680.17830000,-4.98646000,-4.72073700,6.70001400,4.48389200,-4175.68400000,301.80990000
0.01875000,1.99996700,-3.58311700,-7.68694200,7.21912600,1191.73200000,-4951.55600000,-3.24926400,5.44889800,-2.05888600,0.35872420,638.79700000,-1147.77800000,-4.98171600,-4.71645100,0.01637541,5.34210900,-4130.79600000,-2200.07600000
0.01979167,2.00200700,-3.58035900,1.79477900,-2.51377000,4771.37000000,-4605.68900000,-3.24897200,5.44943700,0.46598440,-0.37797330,1774.66700000,-508.16730000,-4.98642500,-4.70960800,-3.09864700,1.08699000,-1392.43700000,-4425.31800000
0.02083333,2.00370600,-3.58835400,0.92886590,-3.75762900,-193.70270000,510.82170000,-3.24829400,5.44811000,1.26882500,-1.01524300,160.63760000,-486.19960000,-4.98817200,-4.71418600,-1.81086900,-5.46609000,1156.00900000,-2698.20100000
0.02187500,2.00394200,-3.58818700,1.09072000,0.37645400,-1117.41900000,4042.19900000,-3.24632900,5.44732200,1.06759200,-1.13528900,-38.32397000,-49.67068000,-4.99019800,-4.72099500,-1.05850100,-4.36693300,-1534.64700000,1263.13200000
0.02291667,2.00597800,-3.58757000,-0.67621400,3.71896400,-2125.91500000,-140.92670000,-3.24606900,5.44574500,0.78956820,-1.29479700,-168.97680000,207.16600000,-4.99037700,-4.72328400,-4.16505500,-2.07860100,1362.56900000,72.29780000
