t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,0.11301840,-0.78084850,�,�,�,�,-2.86731100,2.47929800,�,�,�,�,-4.55877200,-3.73892200,�,�,�,�
0.00104167,0.10253640,-0.75325340,-8.47521500,16.13106000,�,�,-2.87614300,2.50058700,-5.85633200,10.46591000,�,�,-4.56322500,-3.73207200,-2.72397600,6.62890900,�,�
0.00208333,0.09536174,-0.74724210,-4.26039600,-2.05144300,2634.54000000,-13378.68000000,-2.87951200,2.50110200,-9.17723500,-2.81143500,1373.97100000,-9939.62300000,-4.56444700,-3.72511100,0.05428578,5.01844300,1598.66800000,-1856.79700000
0.00312500,0.09366055,-0.75752720,-2.35904100,-12.16827000,3030.48100000,-13527.91000000,-2.89526200,2.49473000,-6.32343700,-9.30611100,5630.18200000,-9515.83200000,-4.56311200,-3.72161700,0.80391740,2.41237000,-426.91230000,-2833.05100000
0.00416667,0.09044707,-0.77259270,0.90096900,-27.85900000,3705.75100000,-3590.63500000,-2.89268500,2.48171400,5.48475600,-21.75242000,4330.09000000,-7549.04200000,-4.56277200,-3.72008600,-0.96277810,-0.61725600,4.76452400,-4836.23700000
0.00520833,0.09553757,-0.81556680,6.38918900,-25.41176000,-809.14710000,25644.78000000,-2.88383600,2.44941200,3.07541400,-27.69612000,-1564.37100000,5946.10000000,-4.56511800,-3.72290300,0.16809330,-7.44721600,510.96790000,-2200.63000000
0.00625000,0.10375790,-0.82553390,0.17711600,26.81099000,-4399.74800000,48631.18000000,-2.88627800,2.42401400,-0.07709130,-9.25629000,-5897.86700000,28933.28000000,-4.56242200,-3.73560100,1.17861900,-7.00027200,-2487.06400000,2846.68900000
0.00729167,0.09590656,-0.75971060,-5.48837500,81.42852000,-9208.02100000,44650.28000000,-2.88399600,2.43012800,-6.54202900,32.60987000,-8853.69600000,48753.96000000,-4.56266300,-3.73748700,-5.07030000,0.33698260,-11131.31000000,9069.82100000
0.00833333,0.09232377,-0.65589110,-15.58389000,117.32380000,-7288.43200000,34116.01000000,-2.89990700,2.49195100,-20.58299000,92.98817000,-8765.74300000,43984.32000000,-4.57298500,-3.73489900,-21.53261000,10.60696000,-9631.63100000,11973.13000000
0.00937500,0.06344012,-0.51528600,-24.84678000,152.44770000,-3757.83300000,22894.52000000,-2.92687800,2.62385400,-25.17538000,129.60870000,271.41210000,23201.16000000,-4.60752200,-3.71538900,-28.43934000,26.22429000,734.57340000,4817.88700000
0.01041667,0.04055963,-0.33829170,-20.99335000,167.79200000,18734.96000000,-66312.34000000,-2.95235600,2.76196900,-19.73029000,136.77310000,6703.65100000,-22764.54000000,-4.63223400,-3.68026500,-17.83553000,23.13695000,9108.51600000,-3559.22800000
0.01145833,0.01970397,-0.16571930,9.79143800,30.50460000,19361.34000000,-145825.10000000,-2.96798200,2.90879800,-10.59057000,90.20189000,9076.10100000,-49591.52000000,-4.64467900,-3.66718700,-8.89137800,14.44506000,8491.52900000,-6464.49200000
0.01250000,0.06095846,-0.27474050,29.20720000,-165.61740000,-7805.99600000,-94608.13000000,-2.97442000,2.94989000,-0.98006550,20.99527000,6088.12800000,-52195.70000000,-4.65075800,-3.65017100,-0.82799500,12.29782000,6512.53600000,-9786.44100000
0.01354167,0.08055230,-0.51075560,-9.63679900,-172.43670000,-13452.20000000,7219.57200000,-2.97002400,2.95253800,3.10758300,-14.17318000,5137.46300000,-32317.83000000,-4.64640400,-3.64156600,5.48394100,-5.41353100,4828.89700000,-12493.00000000
0.01458333,0.04088180,-0.63398360,-9.53849000,-125.38780000,6640.99800000,33686.74000000,-2.96794600,2.92036300,7.82892000,-46.27500000,8748.29600000,-30625.14000000,-4.63933300,-3.66144900,8.62714100,-17.31282000,5510.96700000,-5901.23900000
0.01562500,0.06068045,-0.77198010,16.74178000,-114.57300000,12393.75000000,36124.48000000,-2.95371400,2.85613200,21.97185000,-77.69360000,10250.87000000,-7830.16500000,-4.62843100,-3.67763500,16.44912000,-15.28369000,10857.93000000,819.43560000
0.01666667,0.07576051,-0.87267740,11.92182000,-50.58405000,-9265.54500000,64654.64000000,-2.92217100,2.75850100,30.67002000,-68.56469000,-2969.72800000,24470.77000000,-4.60506400,-3.69329000,31.41208000,-15.69180000,1052.30300000,1764.92700000
0.01770833,0.08551757,-0.87736360,-1.42605500,26.32963000,-6430.97200000,49396.26000000,-2.88981800,2.71328900,16.75275000,-20.50502000,-12797.05000000,38810.25000000,-4.56298900,-3.71032600,22.85701000,-12.39769000,-10740.26000000,3961.36900000
0.01875000,0.07278956,-0.81782400,-5.19772300,54.87542000,-916.98160000,3259.92600000,-2.88727000,2.71578200,0.18896290,13.63261000,-8807.35900000,20855.43000000,-4.55744500,-3.71911900,3.06631400,-6.49218700,-11712.20000000,6202.09100000
0.01979167,0.07468898,-0.76303980,0.41294780,31.13090000,-249.64630000,-13521.34000000,-2.88942400,2.74169000,-0.43111860,23.13208000,-1233.37200000,2746.18700000,-4.55660100,-3.72385100,0.37847520,-0.11741340,-7261.92600000,5241.54100000
0.02083333,0.07364987,-0.75296790,-6.35805600,19.49618000,-3578.97100000,-13567.04000000,-2.88816800,2.76397400,-1.24062200,17.76903000,-3012.77400000,-7546.91100000,-4.55665600,-3.71936300,-10.38731000,5.27570900,-5977.78900000,1110.45800000
0.02187500,0.06144303,-0.72242280,-8.79147200,11.31291000,1226.50700000,-8488.45000000,-2.89200900,2.77870900,-7.14665600,7.56280800,-2916.29700000,-8994.59600000,-4.57824100,-3.71286000,-15.68569000,2.39041800,-569.92000000,-1976.30100000
0.02291667,0.05533430,-0.72939940,-2.65869100,-4.98279200,5156.15000000,-11751.81000000,-2.90305700,2.77973000,-8.28630500,-1.91860100,2215.38000000,-8282.40400000,-4.58933500,-3.71438300,-8.90826600,-0.25312570,7692.47500000,-2961.19100000
0.02395833,0.05590409,-0.73280360,2.21060500,-9.25227300,3131.14700000,351.81230000,-2.90927200,2.77471200,-1.94851200,-8.98479500,7277.63900000,-6405.76400000,-4.59680000,-3.71338800,-0.79220020,-2.40315500,7746.07100000,-1951.44200000
0.02500000,0.05993973,-0.74867500,3.88093100,-7.33358700,-2210.80700000,26369.81000000,-2.90711600,2.76101100,6.98943000,-15.67940000,1051.22400000,10715.56000000,-4.59098500,-3.71939000,8.39946400,-5.48988900,3199.36000000,1028.00300000
0.02604167,0.06398937,-0.74808190,-1.81615300,42.76916000,-3185.06500000,44511.67000000,-2.89471100,2.74204600,2.42754700,9.28510800,-6157.64200000,33675.77000000,-4.57930100,-3.72482500,6.44851100,-0.39311180,-6092.31300000,4675.35800000
0.02708333,0.05615608,-0.65957250,-4.77707900,94.90739000,-8336.35600000,40445.47000000,-2.90205900,2.78035500,-8.97614700,59.45466000,-9708.68700000,43550.85000000,-4.57755100,-3.72020900,-5.09033500,5.44520800,-12314.16000000,6977.44900000
0.02812500,0.05403712,-0.55035820,-15.64120000,121.46710000,-8755.15300000,30198.44000000,-2.91341100,2.86591000,-16.23172000,100.01350000,-9424.93500000,39119.13000000,-4.58990600,-3.71348100,-19.38458000,12.83305000,-14048.48000000,9547.75900000
0.02916667,0.02357025,-0.40651610,-27.54049000,158.26730000,-3358.78500000,13649.70000000,-2.93587500,2.98871700,-28.82367000,139.70620000,-3689.93500000,17868.45000000,-4.61793600,-3.69347300,-34.46126000,26.03705000,-4966.53800000,6109.45700000
0.03020833,-0.00333890,-0.22063470,-20.91013000,156.43880000,17281.66000000,-81104.11000000,-2.97346000,3.15696400,-26.58749000,143.49190000,6269.39700000,-31866.38000000,-4.66170100,-3.65923700,-32.21479000,27.38501000,11024.63000000,-2977.08200000
0.03125000,-0.01999252,-0.08060194,6.42387300,-0.58245170,16775.19000000,-141400.60000000,-2.99126500,3.28765800,-12.64766000,72.60357000,14078.06000000,-60117.25000000,-4.68505000,-3.63642100,-9.46440800,17.86913000,17053.94000000,-9847.81000000
0.03229167,0.01004416,-0.22184810,20.87532000,-168.82970000,5645.86000000,-88294.90000000,-2.99981000,3.30822200,1.29813100,7.47184300,12427.00000000,-61063.34000000,-4.68141800,-3.62201000,5.34845000,7.41628000,12929.94000000,-14889.52000000
0.03333333,0.02349772,-0.43233050,12.73586000,-178.15340000,-6383.83700000,10494.68000000,-2.98856100,3.30322500,14.75612000,-44.84432000,6657.41800000,-35777.87000000,-4.67390700,-3.62097100,15.03691000,-12.48266000,7535.61000000,-15458.69000000
0.03437500,0.03657720,-0.59300100,9.14833300,-137.74390000,233.39690000,36541.43000000,-2.96906800,3.21479600,15.41265000,-77.77179000,3214.44000000,-18746.17000000,-4.65009100,-3.64801500,22.99836000,-27.50367000,2302.69100000,-4623.11700000
