t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.76316300,-1.35095800,�,�,�,�,-3.45186800,0.65318230,�,�,�,�,-5.43504600,-4.05672100,�,�,�,�
0.00104167,1.76459100,-1.35040100,0.99091150,0.52789030,�,�,-3.45154900,0.65526360,-0.01438581,0.53860140,�,�,-5.43487000,-4.05687300,3.44592300,2.72740000,�,�
0.00208333,1.76522700,-1.34985900,-0.67427750,-0.18065260,-374.01890000,-124.78290000,-3.45189800,0.65430440,0.46547840,-0.05793127,79.52170000,-400.46680000,-5.42786700,-4.05103900,3.35130200,2.49646600,130.25870000,-1395.61400000
0.00312500,1.76318600,-1.35077800,-0.33337960,-0.05043324,-536.04970000,-273.51360000,-3.45057900,0.65514290,0.53082120,0.24002710,-154.82520000,93.46818000,-5.42788800,-4.05167200,1.99784600,-1.36867600,-268.72390000,-1664.76400000
0.00416667,1.76453300,-1.34996400,-0.83851670,-0.26328070,-255.76240000,-332.14660000,-3.45079200,0.65480450,-0.18432920,-0.17001070,-771.38460000,-791.68250000,-5.42370500,-4.05389000,3.87024000,-0.91884280,-2801.82600000,-502.45570000
0.00520833,1.76143900,-1.35132600,-1.86511600,-1.17829700,-2452.61900000,-38.03655000,-3.45096300,0.65478870,-0.86534970,-1.12569900,-806.26830000,-1389.59400000,-5.41982500,-4.05358600,-3.18225100,-1.67911200,-4161.63500000,-1745.48500000
0.00625000,1.76064700,-1.35241800,-4.75723200,-0.26773820,3712.59600000,-3433.18400000,-3.45259400,0.65245930,-2.00459800,-3.25841500,1293.62400000,-1894.02300000,-5.43033500,-4.05738900,-7.16971700,-5.08634900,-1054.13700000,-3751.86900000
0.00729167,1.75152800,-1.35188400,2.90437600,-7.04630500,6968.85200000,-6299.68700000,-3.45513900,0.64800040,1.27370400,-5.08941400,107.68520000,-3058.27900000,-5.43476200,-4.06418300,-3.64394400,-9.23644200,1859.36800000,-987.88170000
0.00833333,1.76669800,-1.36709800,13.77547000,-15.53123000,426.77560000,-6301.52900000,-3.44994100,0.64185630,0.04996934,-9.23783500,1572.90300000,-6202.32900000,-5.43792600,-4.07663100,-3.47726700,-8.24423600,4363.90700000,4248.30800000
0.00937500,1.78022700,-1.38424100,3.28883400,-18.99625000,-8213.19800000,-474.46750000,-3.45503500,0.62875490,1.67084100,-18.06552000,651.24970000,-8499.98700000,-5.44200600,-4.08135800,4.09145800,0.36103350,4356.18200000,5428.20800000
0.01041667,1.77354900,-1.40667400,-6.04630500,-17.66587000,-4327.76100000,-4555.66200000,-3.44646000,0.60421980,4.51771300,-27.47667000,-511.55890000,-7917.87200000,-5.42940200,-4.07587900,8.46769000,4.10040600,786.63010000,1649.39200000
0.01145833,1.76763100,-1.42104500,-4.41808300,-25.36592000,2817.94800000,-12079.22000000,-3.44562300,0.57151180,-1.11882200,-34.46065000,-3512.38100000,-9834.47400000,-5.42436500,-4.07281600,3.70953500,2.78795200,-4126.03500000,-238.04940000
0.01250000,1.76434500,-1.45951900,-0.27753960,-45.47022000,2150.06200000,15901.46000000,-3.44879100,0.53242680,-2.84619800,-46.93458000,-59.41390000,5178.51400000,-5.42167400,-4.07007100,0.38307900,3.59002000,-2971.06000000,3406.85000000
0.01354167,1.76705300,-1.51577400,0.93969260,-0.64609820,-2314.70500000,48257.87000000,-3.45155300,0.47373140,-1.12968300,-29.72713000,619.63630000,23152.65000000,-5.42356700,-4.06533600,-2.80649400,9.47583300,-2099.95400000,919.06390000
0.01458333,1.76630300,-1.46086500,-5.32682900,69.17912000,-1209.21200000,28520.70000000,-3.45114400,0.47049530,-0.95584050,8.58097000,-1201.01600000,25067.50000000,-5.42752100,-4.05032900,-3.93971500,7.73082700,-2265.25300000,-3649.60300000
0.01562500,1.75595500,-1.37165100,-3.56808700,59.57810000,-349.23340000,-11262.49000000,-3.45354400,0.49160850,-3.99292600,21.81268000,-1170.70900000,5713.17900000,-5.43177500,-4.04923000,-7.00771900,-0.51502270,318.57950000,-2945.76500000
0.01666667,1.75886900,-1.33674400,-2.78059600,35.61469000,2774.95300000,-23139.50000000,-3.45946300,0.51593840,-3.93459800,19.76763000,-1119.99500000,-5707.22400000,-5.44212000,-4.05140200,-4.82111500,1.57595100,2202.94900000,1774.15400000
0.01770833,1.75016200,-1.29745400,-1.29869000,18.44886000,-986.95590000,-14280.69000000,-3.46174100,0.53279100,-5.16076700,9.61435200,2658.95200000,-9842.32000000,-5.44181900,-4.04594700,-0.43648090,4.54959100,4135.59600000,-68.18263000
0.01875000,1.75616400,-1.29830900,-1.04967000,-0.05287433,4121.23500000,-9035.74300000,-3.47021500,0.53596830,-0.57445090,-1.45620300,3227.83900000,-4286.26700000,-5.44303000,-4.04192400,2.35460200,1.10800100,1109.88700000,-3231.51600000
0.01979167,1.74797500,-1.29756400,2.80842300,2.36164200,-992.81100000,3206.88800000,-3.46293800,0.52975730,4.50337200,-0.45233040,-133.39790000,1995.33200000,-5.43691300,-4.04363900,3.34542100,-2.71833000,-619.35450000,-937.98180000
0.02083333,1.76201500,-1.29338900,2.47511900,6.61608800,2914.05700000,3342.34400000,-3.46083300,0.53502590,-2.05877100,4.93623100,-1765.01600000,3958.82800000,-5.43606000,-4.04758700,-0.03769046,-1.13789100,-2655.15700000,1584.75300000
0.02187500,1.75313200,-1.28378000,2.61925300,9.75860800,-1746.98400000,-1819.87800000,-3.46722700,0.54004110,-0.75402990,6.70345400,-432.75510000,-2234.20600000,-5.43699200,-4.04601000,-1.92300400,1.49679200,-2869.94600000,191.66370000
0.02291667,1.76747100,-1.27305900,4.86383300,3.56571000,1174.61800000,-3390.27700000,-3.46240300,0.54899140,-0.15535250,1.80790200,1304.66000000,-1638.76900000,-5.44006600,-4.04446900,-5.78372500,-0.79741150,-917.68180000,-1734.62100000
0.02395833,1.76326500,-1.27635200,0.30945470,0.21485690,-9021.50300000,5668.29200000,-3.46755100,0.54380750,-0.76870030,0.32389750,346.65530000,4877.08300000,-5.44904100,-4.04767100,-5.01186000,-2.80347300,1235.47100000,421.31330000
0.02500000,1.76811600,-1.27261100,-9.40777500,15.58667000,-3498.08000000,23386.89000000,-3.46400500,0.54966620,2.56285400,13.34863000,-457.03400000,19502.97000000,-5.45050800,-4.05030900,-1.72963400,0.10577080,5473.38700000,5344.58000000
0.02604167,1.74366500,-1.24388000,-13.09971000,48.84498000,-2867.93800000,27985.78000000,-3.46221100,0.57161720,-2.02234100,39.73833000,-2651.36700000,26750.89000000,-5.45264400,-4.04745000,4.80485100,8.25871000,1722.62100000,4172.47800000
0.02708333,1.74082500,-1.17085100,-9.44929800,77.23379000,4347.04000000,23874.24000000,-3.46821800,0.63245440,-4.14246000,71.44597000,-560.59410000,29142.14000000,-5.44049800,-4.03310400,4.83862100,10.46886000,-2518.22600000,1639.32900000
0.02812500,1.72397900,-1.08297600,-8.53670100,95.92875000,2162.74200000,8233.69300000,-3.47084100,0.72046300,-2.23222500,99.38315000,-2298.37500000,15471.52000000,-5.44256400,-4.02564000,-3.19684100,9.59513500,-5915.20900000,-2537.57100000
0.02916667,1.72304000,-0.97099920,-1.68921900,98.02759000,8481.55500000,-73461.37000000,-3.47286900,0.83950270,-8.18912000,107.09670000,-9.68122400,-31728.15000000,-5.44715800,-4.01311400,-6.55086700,7.05815400,-8.32232100,-5700.94800000
0.03020833,1.72046000,-0.87875180,6.53062700,-42.72024000,6309.19800000,-146033.50000000,-3.48790200,0.94358110,-5.37140600,37.95469000,4821.23700000,-68126.72000000,-5.45621200,-4.01093600,-4.28247000,-3.28077900,3904.14300000,-9012.49600000
0.03125000,1.73664600,-1.06000000,14.31569000,-233.81830000,7518.37300000,-106861.10000000,-3.48405900,0.91857490,5.12998200,-48.07293000,8697.53600000,-67079.73000000,-5.45607900,-4.01994900,2.77071600,-12.05678000,2242.66000000,-7944.30500000
0.03229167,1.75028400,-1.36587300,19.62476000,-267.42920000,4543.38100000,11269.81000000,-3.47721500,0.84342920,11.20378000,-96.35955000,3872.23000000,-34765.78000000,-5.45043900,-4.03605400,1.12764900,-19.46468000,4888.97400000,-2111.44800000
0.03333333,1.77753100,-1.61714400,25.86366000,-200.16970000,1550.72200000,68541.65000000,-3.46071800,0.71782590,14.50533000,-123.55790000,2339.14600000,-12380.92000000,-5.45373000,-4.06050000,9.53943800,-17.90763000,10688.57000000,6736.31100000
0.03437500,1.80416700,-1.78289300,22.30528000,-121.95840000,-8122.04700000,70586.45000000,-3.44699500,0.58601690,14.80203000,-120.41830000,1276.73100000,14500.76000000,-5.43056500,-4.07336200,26.96138000,-4.40456500,6625.70200000,8415.36100000
0.03541667,1.82400000,-1.87122400,9.42497500,-52.91596000,-7155.80300000,53931.80000000,-3.42988000,0.46695450,17.64687000,-94.06507000,-3705.65600000,38034.02000000,-5.39756100,-4.06967700,23.97915000,1.40402400,-7418.34600000,1528.28000000
0.03645833,1.82380200,-1.89313500,4.45356600,-7.70452200,-6638.96800000,34627.36000000,-3.41023100,0.39004800,8.65518000,-40.96796000,-6819.32600000,45170.13000000,-5.38060900,-4.07043700,9.58563200,-2.68549400,-10857.35000000,1641.94200000
0.03750000,1.83327800,-1.88727500,-0.35573490,16.87186000,-2871.19400000,12794.34000000,-3.41184900,0.38160450,0.11171150,4.70740700,-3964.69000000,26534.69000000,-5.37759100,-4.07527100,0.84307110,3.41924400,-7653.27600000,3239.76300000
0.03854167,1.82306100,-1.85798500,-5.50660700,21.24166000,1655.42700000,-28888.24000000,-3.40999800,0.39985510,2.26024600,13.80915000,-2667.16400000,-4606.75100000,-5.37885300,-4.06331300,-5.39289800,7.25059700,-4150.66700000,-556.53440000
0.03958333,1.82180600,-1.84302200,4.81276000,-39.22726000,10467.56000000,-78809.73000000,-3.40714000,0.41037360,-4.50840400,-5.54603300,-103.55700000,-32849.20000000,-5.38882600,-4.06016600,-8.81398700,0.29013300,2488.39800000,-5050.40700000
0.04062500,1.83308800,-1.93970900,16.58377000,-149.21810000,5481.61800000,-74460.00000000,-3.41939100,0.38830090,-1.55475600,-53.89407000,7250.06600000,-42033.27000000,-5.39721500,-4.06270900,-0.47656260,-3.32151100,10294.43000000,-1973.50900000
0.04166667,1.85635600,-2.15389300,17.68191000,-203.16090000,1950.96400000,-16626.89000000,-3.41037900,0.29809430,13.81091000,-98.52132000,12189.37000000,-27657.51000000,-5.38981900,-4.06708600,13.74041000,-3.74759500,12652.72000000,802.34700000
0.04270833,1.86992500,-2.36296000,17.81267000,-178.29970000,1797.72400000,34803.63000000,-3.39061800,0.18304820,23.24523000,-110.27290000,4077.58600000,-5007.55800000,-5.36858900,-4.07051600,25.90827000,-1.63175600,4277.24700000,985.89980000
0.04375000,1.89346500,-2.52535000,23.35194000,-128.51400000,1766.39600000,44618.37000000,-3.36195100,0.06835911,23.38139000,-107.56400000,-1513.45200000,15269.66000000,-5.33584300,-4.07048500,24.30144000,-1.11960600,12.92298000,-2290.00500000
0.04479167,1.91857500,-2.63069800,21.40937000,-83.27401000,-7660.67500000,41956.03000000,-3.34190700,-0.04104346,18.41704000,-81.16880000,-4236.66100000,28599.16000000,-5.31796100,-4.07284900,22.36445000,-6.38094500,-6065.78900000,-2198.59200000
0.04583333,1.93806800,-2.69883800,8.03917500,-43.10178000,-3870.17900000,20811.21000000,-3.32358200,-0.10074260,15.24543000,-43.50126000,-4714.76400000,27856.25000000,-5.28925000,-4.08377900,15.84289000,-7.18342400,-8612.05400000,928.99490000
0.04687500,1.93532300,-2.72049300,9.01724500,-34.18066000,-1171.11900000,15018.09000000,-3.31014500,-0.13167110,8.64949000,-23.48424000,-5719.88100000,17463.37000000,-5.28495500,-4.08781400,0.80573140,-3.03273600,-9365.04300000,3391.89900000
0.04791667,1.95685400,-2.77004800,11.73047000,-22.42074000,-5218.75500000,14904.89000000,-3.30556300,-0.14966810,2.69351700,-8.56341200,-5523.68100000,13054.21000000,-5.28757200,-4.09009700,-2.88771800,-0.57965870,-1553.46800000,2484.15700000
0.04895833,1.95976200,-2.76720300,-4.96564300,5.56534900,-7053.22200000,19274.57000000,-3.30453400,-0.14951150,-2.27266300,4.66934100,-1348.56000000,12094.84000000,-5.29097100,-4.08902200,-2.21392000,2.30160000,770.65620000,4566.95000000
0.05000000,1.94650900,-2.75845300,-5.00549200,14.13260000,-3112.29400000,15128.20000000,-3.31029700,-0.13994030,-1.39494200,15.74401000,-1354.33000000,8429.16400000,-5.29218400,-4.08530200,-0.95816850,8.38021700,1103.23300000,8560.95800000
0.05104167,1.94933400,-2.73776000,-6.78049800,36.00902000,-2781.40900000,11190.28000000,-3.30744000,-0.11671150,-2.67248700,23.31281000,-1770.82600000,9433.11800000,-5.29296700,-4.07156300,-0.09964878,20.31211000,1738.69100000,3802.33600000
0.05208333,1.93238300,-2.68343400,-14.82187000,42.60354000,813.23180000,-2038.45500000,-3.31586500,-0.09137193,-7.33079000,33.44639000,-560.78170000,2164.83500000,-5.29239200,-4.04298500,2.53741100,18.87290000,679.56320000,-5041.63100000
0.05312500,1.91845500,-2.64900300,-4.57262900,27.51836000,7292.99600000,-9932.79500000,-3.32271200,-0.04703152,-3.31611700,31.81932000,2272.83100000,-4385.14400000,-5.28768100,-4.03224500,2.13157700,6.84069100,-2601.40700000,-9572.47400000
0.05416667,1.92285700,-2.62610400,2.87186000,21.72902000,2793.57500000,149.42050000,-3.32277400,-0.02508168,-1.55890100,20.07891000,-1028.26300000,-4383.00900000,-5.28795100,-4.02873400,-3.40009300,-0.31207290,-5718.65200000,-4928.44800000
0.05520833,1.92443800,-2.60373400,-0.15713450,27.66393000,-4945.99300000,-2523.79900000,-3.32596000,-0.00520047,-5.94065400,23.33299000,-1906.85200000,-1978.70000000,-5.29476500,-4.03289500,-9.86352700,-3.98468600,-2784.72600000,-2765.44200000
