t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.57760000,-1.15967300,�,�,�,�,-3.19845500,1.73594900,�,�,�,�,-4.73262500,-3.15027600,�,�,�,�
0.00104167,1.55576100,-1.13358100,-4.51098600,18.85916000,�,�,-3.20426400,1.75021500,-4.78827000,12.97583000,�,�,-4.75093700,-3.13717400,-4.09901400,10.65220000,�,�
0.00208333,1.56820200,-1.12038300,2.23824500,11.43791000,3767.55300000,-7022.96900000,-3.20843100,1.76298200,-6.53726600,14.02905000,1095.52200000,-6267.40200000,-4.74116400,-3.12808400,-0.56791350,6.22285500,3873.86700000,-5030.90000000
0.00312500,1.56042400,-1.10975200,-2.49589700,5.44096100,881.43590000,-9716.97200000,-3.21788300,1.77944200,-4.05985200,2.43718500,4363.40400000,-10330.46000000,-4.75212000,-3.12421000,-2.01186600,0.22948590,145.12860000,-6030.89800000
0.00416667,1.56300200,-1.10904800,6.33080500,-8.65788200,4532.82200000,-8464.89400000,-3.21688900,1.76806000,3.92419000,-11.48475000,4410.09200000,-7954.11200000,-4.74535600,-3.12760600,3.94925600,-6.51584700,3502.98400000,-5953.20400000
0.00520833,1.57361300,-1.12778900,7.69463500,-14.65670000,-2767.41100000,-5029.59500000,-3.20970800,1.75551600,5.46406500,-12.34123000,1829.90900000,-6137.79700000,-4.74389200,-3.13778400,3.10173200,-12.25050000,-596.29820000,-3362.15200000
0.00625000,1.57903300,-1.13958300,0.04038581,-16.15896000,-2151.71400000,-4434.84100000,-3.20550500,1.74234900,6.54521100,-22.82295000,-192.07700000,-3811.92000000,-4.73889400,-3.15312800,3.71054300,-13.88431000,-1250.84000000,-687.62600000
0.00729167,1.57369700,-1.16145400,1.19077600,-25.15963000,-2379.96100000,97.11622000,-3.19607200,1.70796800,6.36924800,-24.38139000,-2791.07900000,4707.19700000,-4.73616200,-3.16671000,0.27767140,-13.08135000,-4013.45600000,4569.91700000
0.00833333,1.58151400,-1.19199800,-1.14142500,-18.06367000,-1298.35000000,10230.88000000,-3.19223600,1.69155400,0.11400110,-9.92999100,-4591.24400000,10785.09000000,-4.73831500,-3.18038100,-4.77820500,-5.57488200,-6440.87100000,8080.08500000
0.00937500,1.57131900,-1.19908600,-5.49876700,-0.87986450,-1291.18000000,10590.05000000,-3.19583500,1.68728000,-3.78452500,-1.80750400,-2557.61000000,6345.08300000,-4.74611600,-3.17832400,-12.81889000,5.42235900,2232.21300000,5413.14200000
0.01041667,1.57005800,-1.19383100,-1.35105000,4.20328200,1515.41100000,6113.28000000,-3.20012000,1.68778900,-4.71325400,2.78424300,-1657.28800000,6283.09900000,-4.76502100,-3.16908400,-3.37402100,6.01705800,10873.19000000,3195.88800000
0.01145833,1.56850400,-1.19032900,-2.80653100,9.84352900,-1108.11000000,3036.20200000,-3.20565400,1.69308100,-7.10504300,10.79426000,1233.61500000,3107.66900000,-4.75314600,-3.16578900,14.38943000,9.82131300,6561.15100000,483.08250000
0.01250000,1.56421100,-1.17332400,-4.02855200,12.97876000,2264.82500000,-32.63098000,-3.21492300,1.71027700,-3.36095200,11.30607000,2618.76300000,-1794.36800000,-4.73504300,-3.14862300,10.08075000,10.22669000,-6761.27700000,-1676.46700000
0.01354167,1.56011200,-1.16329000,1.36855600,8.11092900,2851.43900000,-4661.44900000,-3.21265600,1.71663500,0.43726420,4.92237300,1781.35100000,-4432.91200000,-4.73214400,-3.14448300,-1.58449300,3.63892900,-6973.53200000,-3396.58900000
0.01458333,1.56706200,-1.15642600,3.82143800,3.72052600,-272.80910000,-4097.39400000,-3.21401200,1.72053200,-0.98311010,2.63429800,-560.89320000,-2930.24500000,-4.73834400,-3.14104200,-4.81536200,3.86743400,-1269.31600000,-2815.92600000
0.01562500,1.56807300,-1.15553900,-0.55436610,-0.79268250,-3450.15700000,-3906.75500000,-3.21470400,1.72212300,-0.42597190,-0.97230800,448.07190000,-2620.42900000,-4.74217600,-3.13642600,-3.32984200,-1.21246100,-34.68693000,-4991.11500000
0.01666667,1.56590700,-1.15807800,-3.23020000,-4.22336300,1828.84400000,-4003.74700000,-3.21489900,1.71850600,-0.04696874,-3.39273900,726.98140000,-1967.47100000,-4.74528200,-3.14356800,-4.70434100,-8.05270800,3261.09700000,-3008.93000000
0.01770833,1.56134300,-1.16433800,2.20383500,-8.98432000,986.16440000,-63.20617000,-3.21480200,1.71505500,0.96941260,-4.51884600,1482.06600000,-1939.00400000,-4.75197700,-3.15320300,1.75336400,-7.29585800,2220.99800000,878.24550000
