t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.75306600,-1.26979400,�,�,�,�,-3.12374400,6.56046900,�,�,�,�,-5.16775800,-2.78349600,�,�,�,�
0.00104167,1.75464500,-1.27021200,0.98373490,-1.33865800,�,�,-3.12577300,6.55564300,-2.43985400,-4.11647200,�,�,-5.16531500,-2.78271700,1.76865500,-6.774598E-01,�,�
0.00208333,1.75511500,-1.27258300,4.80280000,-8.56026700,-919.70550000,-778.40340000,-3.12882700,6.55189300,1.98979000,-3.22642200,30.48328000,-2002.40600000,-5.16407300,-2.78490700,-1.34433800,-3.846504E+00,-4.62827E+02,-3.238366E+03
0.00312500,1.76465100,-1.28804600,1.48286900,-5.89951000,-570.48450000,-3141.42700000,-3.12162800,6.54892100,0.07651851,-7.58012100,-861.93160000,-135.10540000,-5.16811500,-2.79073100,-0.34316780,-7.452779E+00,-4.550034E+02,-2.121955E+03
0.00416667,1.75820500,-1.28487400,-0.07279145,-9.81456100,-2001.48500000,1831.84500000,-3.12866800,6.53610100,-2.99887900,-5.83612800,-171.91750000,1505.98100000,-5.16478800,-2.80043400,-0.40505800,-8.645742E+00,-3.422904E+02,-4.855986E+02
0.00520833,1.76449900,-1.30849300,0.89214370,-8.99000200,213.39580000,3141.34800000,-3.12787600,6.53676200,1.64286800,-1.59942500,3880.56700000,2504.55400000,-5.16895900,-2.80874300,-2.76679300,-8.003376E+00,-4.615151E+01,2.468667E+03
0.00625000,1.76006300,-1.30360300,-2.25913700,2.75392600,-3255.41900000,38063.25000000,-3.12524500,6.53276900,4.51620400,-2.38759900,-3268.41200000,26758.42000000,-5.17055200,-2.81710800,0.12960240,-4.158993E+00,1.209383E+02,6.954891E+03
0.00729167,1.75979300,-1.30275600,-4.04250500,59.42603000,366.89860000,44553.16000000,-3.11846700,6.53178800,-3.31964000,47.90192000,-12272.07000000,44866.46000000,-5.16868900,-2.81740700,-1.71692500,6.610428E+00,-7.669741E+03,8.279424E+03
0.00833333,1.75164100,-1.17979900,-3.48170400,113.27680000,-7200.06700000,23473.49000000,-3.13216100,6.63256500,-22.76821000,103.82200000,-8581.76500000,23602.72000000,-5.17412900,-2.80333600,-15.60437000,1.43828E+01,-1.046192E+04,5.215464E+03
0.00937500,1.75253900,-1.06676200,-14.99584000,99.83547000,-6747.73800000,-11632.03000000,-3.16590100,6.74808400,-23.77431000,94.46597000,223.85920000,-11810.12000000,-5.20119800,-2.78744300,-25.97918000,1.655488E+01,-3.795648E+03,3.587942E+03
0.01041667,1.72040000,-0.97180830,-23.71113000,87.73269000,-4246.41900000,-10270.67000000,-3.18169100,6.82936900,-18.05235000,74.07686000,3902.78500000,-19794.64000000,-5.22825200,-2.76884700,-22.51987000,2.157227E+01,-1.284732E+02,-2.236434E+03
0.01145833,1.70314100,-0.88398580,-19.16549000,79.40139000,9048.42600000,-13473.79000000,-3.20351000,6.90241100,-18.10666000,56.40370000,2090.45300000,-16319.84000000,-5.24811500,-2.74250100,-24.48736000,1.433779E+01,5.435743E+03,-6.101094E+03
0.01250000,1.68047200,-0.80638880,-8.51499500,60.71694000,1924.41500000,-4396.11900000,-3.21941300,6.94687700,-12.82199000,37.46884000,-945.46760000,-1245.03100000,-5.27926800,-2.73897600,-15.32072000,4.973495E+00,3.745449E+03,-5.21872E+03
0.01354167,1.68540100,-0.75749210,-9.03379900,64.49955000,1553.99100000,3043.29700000,-3.23022200,6.98047100,-18.60748000,51.52499000,2313.09800000,11297.83000000,-5.28003300,-2.73214000,-10.36665000,5.619337E+00,5.040647E+03,-6.089086E+02
0.01458333,1.66165200,-0.67201470,-12.56524000,75.04400000,-1030.32600000,9454.17900000,-3.25817900,7.05422000,-12.72083000,67.70105000,6970.15300000,6230.76000000,-5.30086500,-2.72726900,-10.94808000,3.391591E+00,1.640106E+03,-2.357644E+03
0.01562500,1.65922400,-0.60115050,-5.79467400,78.22657000,5521.48700000,-4990.35900000,-3.25672400,7.12151500,1.15728600,61.33398000,5684.80900000,-6340.14800000,-5.30284100,-2.72507400,-2.85154600,6.79589E-01,5.07961E+03,1.833962E+02
0.01666667,1.64957900,-0.50904270,-4.23207100,71.04544000,1876.99100000,-9719.25000000,-3.25576800,7.18199900,-2.47759700,54.50912000,-1678.47500000,-1767.11500000,-5.30680600,-2.72585300,-2.16543200,3.011864E+00,-1.071081E+03,7.480239E+01
0.01770833,1.65040700,-0.45313910,0.14026360,51.82018000,-6100.42200000,6607.51300000,-3.26188600,7.23507500,-3.60017800,56.33461000,-854.14010000,11273.77000000,-5.30735300,-2.71879900,-3.98392300,2.696128E+00,-4.542622E+02,-3.197448E+03
