t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.77864200,-2.11176400,�,�,�,�,-3.51080800,-2.68328100,�,�,�,�,-5.20952100,-4.04970700,�,�,�,�
0.00104167,1.77475600,-2.07632500,-0.91725080,9.49488500,�,�,-3.50640200,-2.65322400,-5.37200000,3.67349000,�,�,-5.21213400,-4.03347400,-4.76311400,6.01898900,�,�
0.00208333,1.77673100,-2.09198300,3.80492500,-75.56379000,8029.78900000,-71885.65000000,-3.52200000,-2.67562800,-4.94475400,-96.30726000,7879.07600000,-69943.08000000,-5.21944400,-4.03716800,-3.02181100,-6.71039800,4359.31600000,-7483.85400000
0.00312500,1.78268300,-2.23375000,14.67466000,-151.81290000,5947.34000000,-34000.52000000,-3.51670400,-2.85386500,14.00538000,-161.22700000,13084.04000000,-22978.96000000,-5.21842900,-4.04745400,5.18165800,-9.20594400,10463.18000000,-2042.10400000
0.00416667,1.80730400,-2.40826000,19.12702000,-145.40220000,5548.38200000,20889.25000000,-3.49282200,-3.01151700,23.36695000,-133.25580000,2812.47600000,38113.17000000,-5.20864900,-4.05634700,18.15533000,-10.09826000,5835.37400000,3236.92900000
0.00520833,1.82253100,-2.53667100,22.53449000,-102.66990000,-4849.79100000,49924.47000000,-3.46802300,-3.13148100,19.35249000,-82.70445000,-5999.05900000,50567.01000000,-5.18060500,-4.06849200,20.20226000,-4.08617200,-804.84380000,5659.44000000
0.00625000,1.85425100,-2.62215500,14.24440000,-44.09157000,-8190.18500000,49538.05000000,-3.45250400,-3.18381800,10.20374000,-24.84606000,-6982.06400000,44131.69000000,-5.16656100,-4.06485900,13.32843000,4.00534800,-6510.97500000,6845.98700000
0.00729167,1.85220700,-2.62852800,-0.49872420,6.62051700,-12110.30000000,45023.16000000,-3.44676500,-3.18324300,4.27782600,10.44285000,-3925.27900000,34720.94000000,-5.15283800,-4.06014800,8.25611500,8.65232700,-7421.22600000,6794.17600000
0.00833333,1.85321200,-2.60836200,-7.10003200,44.35126000,-2089.94000000,17870.63000000,-3.44359200,-3.16206200,2.43226800,43.39286000,-4422.17600000,11461.85000000,-5.14936100,-4.04683400,-2.65882400,18.45522000,-8066.34600000,5128.95800000
0.00937500,1.83741500,-2.53613000,-8.34079000,51.69318000,4673.31800000,-16812.15000000,-3.44169800,-3.09284200,-4.09020000,42.86632000,-4832.08400000,-21019.06000000,-5.15837700,-4.02170000,-9.44665700,20.83878000,-3619.85900000,-6370.04900000
0.01041667,1.83583500,-2.50066800,4.83093900,4.87906000,6927.03900000,-59114.34000000,-3.45211300,-3.07275700,-9.33068500,-6.71586600,2400.69900000,-57746.04000000,-5.16904100,-4.00342000,-9.65294800,5.19813900,3985.09500000,-14273.03000000
0.01145833,1.84748000,-2.52596500,7.46058800,-70.64935000,3732.97900000,-48357.00000000,-3.46113700,-3.10683300,0.62029860,-75.39826000,11351.38000000,-45721.89000000,-5.17848700,-4.01087000,-1.88988400,-11.35508000,9692.43600000,-15237.42000000
0.01250000,1.85137800,-2.64785400,9.77671000,-106.45390000,3804.12400000,-7478.83800000,-3.45082100,-3.22983700,16.00321000,-111.40590000,7315.39600000,-530.35470000,-5.17297800,-4.02707600,11.60481000,-24.67970000,7972.49400000,-4342.73500000
0.01354167,1.86784800,-2.74774400,17.41239000,-79.00275000,1478.55900000,31099.48000000,-3.42779700,-3.33892900,17.00584000,-73.02604000,-2624.20500000,40065.51000000,-5.15431100,-4.06228600,15.80140000,-23.83254000,1005.74600000,7279.25100000
0.01458333,1.88765400,-2.81244300,13.27264000,-41.31647000,-7591.10800000,36950.66000000,-3.41539200,-3.38197500,8.67063200,-22.51889000,-7605.90900000,37859.51000000,-5.14005900,-4.07672700,12.37840000,-6.42563600,-4800.89300000,14198.53000000
0.01562500,1.89549900,-2.83382000,0.70391700,-1.24731000,-13593.50000000,39718.50000000,-3.40973300,-3.38584300,1.52216800,5.39135700,-8483.23800000,33529.89000000,-5.12852200,-4.07567300,6.39807200,5.76905800,-5630.79900000,15360.67000000
0.01666667,1.88912000,-2.81504200,-14.92102000,40.72417000,-9211.41300000,30574.74000000,-3.41222100,-3.37074300,-8.74910000,43.15577000,-6480.33400000,26217.52000000,-5.12672900,-4.06470800,-0.22453940,23.95407000,-6937.32700000,9586.60300000
