t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.64288700,-1.02685200,�,�,�,�,-3.21575600,7.15513900,�,�,�,�,-4.96797700,-2.07919700,�,�,�,�
0.00104167,1.64075600,-1.02976200,1.20753900,0.18603530,�,�,-3.21534600,7.15540800,0.54809990,0.37849320,�,�,-4.99682700,-2.10928100,-13.84772000,-14.44027000,�,�
0.00208333,1.64540300,-1.02646400,3.60359800,2.51427300,711.55490000,810.22940000,-3.21461400,7.15592800,0.32570540,0.41405830,-212.72640000,-128.90090000,-4.99682700,-2.10928100,-0.15397090,1.37981000,9520.89600000,8958.86700000
0.00312500,1.64826300,-1.02452400,2.07602500,1.33734800,-1863.49700000,-1167.42800000,-3.21466800,7.15627000,-0.02830059,0.10098800,-407.90790000,-152.10800000,-4.99714700,-2.10640600,3.43109200,2.58090100,115.24100000,-854.36570000
0.00416667,1.64972800,-1.02367800,-0.12856900,0.12335340,90.08616000,-1217.71300000,-3.21467300,7.15613800,-0.40626160,0.02277239,506.88950000,1381.30900000,-4.98967900,-2.10390400,1.92562100,-0.26698710,-4040.35700000,-1566.98200000
0.00520833,1.64799600,-1.02426700,1.47311500,-1.22664300,-5113.98900000,8041.93800000,-3.21551400,7.15631800,0.69512110,2.69389800,-2228.48100000,7916.84700000,-4.99313600,-2.10696200,-6.55639400,-1.61016100,-4344.36200000,228.03670000
0.00625000,1.65279700,-1.02623300,-7.88297300,14.45234000,-6132.25900000,16840.29000000,-3.21322500,7.16175000,-3.71731000,15.71519000,-5262.49200000,27279.44000000,-5.00333800,-2.10725800,-7.61254300,0.81170260,-2898.64800000,4112.06700000
0.00729167,1.63157300,-0.99415750,-15.95150000,37.64208000,-2167.25500000,35578.18000000,-3.22325900,7.18905800,-11.85546000,57.67203000,-4536.72000000,34017.74000000,-5.00899500,-2.10527100,-10.74971000,6.43372900,615.59130000,2501.77900000
0.00833333,1.61956400,-0.94781240,-9.62194500,82.73298000,662.11130000,32426.52000000,-3.23792400,7.28190000,-13.09895000,93.45514000,280.09630000,23098.35000000,-5.02573300,-2.09385500,-9.14963400,7.63531600,995.67850000,-1878.59500000
0.00937500,1.61152700,-0.82179710,-13.79150000,115.87380000,-640.22670000,-5580.05100000,-3.25054800,7.38375600,-10.85504000,101.94150000,1089.41500000,-20614.58000000,-5.02805700,-2.08936400,-5.47537000,1.34692100,761.85050000,-3826.82200000
0.01041667,1.59083200,-0.70640870,-13.82683000,70.01055000,14308.27000000,-86898.93000000,-3.26053900,7.49427800,-10.48091000,57.95654000,3024.53100000,-87735.01000000,-5.03714000,-2.09104900,-9.38301100,-0.82257320,-2802.63900000,-2438.01000000
0.01145833,1.58272100,-0.67594180,15.31142000,-62.91687000,14325.97000000,-99707.68000000,-3.27238300,7.50449900,-5.78662800,-82.06466000,10238.19000000,-103376.50000000,-5.04760500,-2.09107800,-10.91600000,-2.70020300,8075.95700000,-12892.26000000
0.01250000,1.62273100,-0.83748550,23.83721000,-157.83080000,208.08330000,-42623.64000000,-3.27259400,7.32331000,10.97465000,-176.42830000,12529.13000000,-33446.22000000,-5.05988200,-2.09667400,4.90394500,-25.66007000,7189.41000000,-6731.63300000
0.01354167,1.63238200,-1.00475600,8.40464900,-141.99060000,-8947.42000000,40094.15000000,-3.24952000,7.13694000,22.64137000,-144.27810000,783.01380000,51429.12000000,-5.03738800,-2.14453700,10.53451000,-25.11536000,6869.70400000,5668.09600000
0.01458333,1.64024100,-1.13329900,7.09661700,-75.44800000,1259.29400000,53609.31000000,-3.22542500,7.02273100,12.64694000,-65.35843000,-6064.08600000,62883.53000000,-5.03793500,-2.14899800,11.89731000,-4.91129500,-2216.92400000,15686.68000000
0.01562500,1.64716700,-1.16193900,10.47641000,-20.28850000,-1511.64100000,43872.95000000,-3.22317200,7.00077600,6.34491000,-7.50572100,-3971.98400000,51270.13000000,-5.01260200,-2.15476800,12.70417000,3.16587400,-2373.93900000,11672.36000000
0.01666667,1.66206600,-1.17556700,6.25474400,8.13167400,-6627.31900000,41481.01000000,-3.21220600,7.00709400,7.49746400,34.88814000,-4889.88700000,32979.55000000,-5.01146800,-2.14240200,1.76231500,20.71929000,-3622.13200000,6307.47800000
0.01770833,1.66019700,-1.14499800,-5.62919400,65.93508000,-8413.72400000,15181.45000000,-3.20755200,7.07346000,-4.08378900,67.02478000,-7115.22300000,-157.74380000,-5.00893100,-2.11160300,6.43790200,19.08773000,-1346.60400000,-2778.70100000
