t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.77894300,-1.71212100,�,�,�,�,-3.52198400,2.11292100,�,�,�,,-5.14650600,-3.96110500,�,�,�,�
0.00104167,1.78037900,-1.71270700,-2.12315600,2.48200800,�,�,-3.52420800,2.10821500,0.00305894,-4.18270100,�,,-5.14528700,-3.96003800,-2.24142700,-1.15279900,�,�
0.00208333,1.77452000,-1.70695000,1.26354900,17.23307000,-4282.84000000,26265.07000000,-3.52197700,2.10420700,4.00277100,26.27698000,-4665.04000000,29701.32000000,-5.15117600,-3.96350600,-2.68258600,4.54088500,718.21560000,5997.24400000
0.00312500,1.78301100,-1.67680500,-6.48656500,56.21412000,-1731.53800000,15854.04000000,-3.51586900,2.16295800,-7.57020200,65.02231000,-5697.91100000,10891.77000000,-5.15087600,-3.95057800,0.55311880,13.71481000,2116.23500000,4689.32500000
0.00416667,1.76100700,-1.58983700,-9.21181000,59.77111000,-2.64776600,-548.90990000,-3.53774800,2.23967000,-13.10125000,50.44245000,-4106.74400000,-5647.85300000,-5.15002400,-3.93493400,1.30768700,13.74097000,-6386.38500000,2284.10200000
0.00520833,1.76382000,-1.55228200,-0.53510520,43.35455000,-859.56160000,-8965.63200000,-3.54316300,2.26804700,-11.10477000,43.12613000,3110.79900000,-11080.06000000,-5.14815200,-3.92195100,-10.84400000,17.23978000,-2834.63800000,-1312.42000000
0.00625000,1.75989200,-1.49951500,-12.39665000,47.07818000,-2618.28500000,-6190.98600000,-3.56088300,2.32951700,-10.38396000,38.18689000,4341.86800000,-9596.50600000,-5.17261500,-3.89901800,-10.18020000,13.73670000,241.39770000,-4422.69600000
0.00729167,1.73799400,-1.45420200,-9.62086100,30.28004000,5377.52600000,-11149.77000000,-3.56479600,2.34760300,0.12393590,15.22042000,4676.42800000,-10127.70000000,-5.16936000,-3.89333300,-3.75147600,5.03787200,3109.41800000,-6169.35600000
0.00833333,1.73984800,-1.43643200,3.10686400,20.14287000,3339.44100000,-4013.64000000,-3.56062500,2.36122600,0.08087626,18.65378000,-1189.77200000,5390.20600000,-5.18043100,-3.88852200,-7.95010000,2.28076600,-1424.82700000,-2557.91000000
0.00937500,1.74446600,-1.41223800,-2.87021100,24.50513000,-3595.85900000,6887.39100000,-3.56462800,2.38646500,-4.00655200,27.83415000,-1342.96600000,5019.66700000,-5.18592300,-3.88858100,-5.01001300,-0.79383090,4419.73400000,-864.01870000
0.01041667,1.73386900,-1.38538000,-7.09975100,33.33752000,2292.56100000,-4120.30800000,-3.56897200,2.41921400,-2.44932000,29.60656000,1341.70100000,-7016.82300000,-5.19086800,-3.89017600,0.23794660,0.33727950,3514.72600000,1261.05600000
0.01145833,1.72967500,-1.34278500,2.84583100,20.77084000,264.22370000,-9470.01800000,-3.56973000,2.44814500,-0.70004630,14.12693000,1417.26300000,-12356.63000000,-5.18542700,-3.88787900,3.88978000,2.43897700,263.65460000,1851.64100000
0.01250000,1.73979800,-1.34210700,-3.18219600,6.01444300,-1392.80600000,-8524.30200000,-3.57043100,2.44864500,0.14817210,0.25777320,456.29370000,-7715.81900000,-5.18276500,-3.88509500,0.05174404,3.82950700,-2952.12800000,-1012.31400000
0.01354167,1.72304500,-1.33025500,-6.14304900,7.91356600,505.86040000,-773.86940000,-3.56942200,2.44868200,0.54190840,-0.04927151,847.24610000,72.37651000,-5.18532000,-3.87990100,-2.74389800,1.17203700,-1051.60000000,-2917.07400000
0.01458333,1.72700000,-1.32562000,2.70943000,2.87148300,3880.17700000,957.02420000,-3.56930200,2.44854200,1.47933000,0.34709000,-207.15880000,3120.85700000,-5.18848100,-3.88265300,-2.01086100,-3.39523400,742.28090000,-2875.60400000
0.01562500,1.72869000,-1.32427300,0.38694590,8.86936100,-4897.58200000,7724.47600000,-3.56634000,2.44940500,0.84628700,5.88059100,-3048.06100000,14951.92000000,-5.18950900,-3.88697400,-0.87863700,-4.44642500,-1069.31700000,951.51690000
0.01666667,1.72780600,-1.30714300,-6.83645000,20.74028000,-4082.75600000,25908.11000000,-3.56753900,2.46079300,-5.07556400,30.12915000,-6141.13700000,32886.99000000,-5.19031200,-3.89191600,-3.90617000,-1.80981800,-3844.60000000,2291.42300000
0.01770833,1.71444700,-1.28106400,-10.04928000,58.24542000,-3263.35200000,41765.89000000,-3.57691400,2.51217400,-12.31089000,75.42916000,-3991.12700000,39156.89000000,-5.19764700,-3.89074400,-9.45475700,1.19807100,-1989.01000000,2124.74500000
0.01875000,1.70687000,-1.18579800,-11.39798000,113.48080000,-1379.86100000,34577.24000000,-3.59318600,2.61793700,-14.00632000,114.56060000,-849.14450000,24327.04000000,-5.21000900,-3.88942000,-8.73852900,2.09993700,-1578.01000000,2147.13300000
0.01979167,1.69070200,-1.04464500,-14.62629000,132.28970000,4257.12400000,-29734.20000000,-3.60609400,2.75084200,-13.05126000,126.28940000,5000.63800000,-25306.02000000,-5.21585200,-3.88637000,-10.76666000,5.52652600,1640.96500000,1859.94400000
0.02083333,1.67639800,-0.91019440,-3.19011600,57.66943000,14317.11000000,-128863.20000000,-3.62037600,2.88104000,-5.22059500,67.78017000,11405.90000000,-67136.89000000,-5.23244000,-3.87790700,-8.32592800,6.78934300,5967.10500000,-1469.19400000
0.02187500,1.68405600,-0.92450070,16.74321000,-138.31890000,12313.37000000,-138171.40000000,-3.61697000,2.89205100,11.98609000,-24.70057000,9117.32400000,-69803.48000000,-5.23319800,-3.87222500,3.90998000,2.18083300,6362.44700000,-5673.95600000
0.02291667,1.71128000,-1.19835900,23.95219000,-256.49800000,-1963.22500000,-31755.96000000,-3.59540500,2.82958100,15.75752000,-77.10117000,3769.77600000,-35381.03000000,-5.22429400,-3.87336300,5.59112800,-5.19058700,4795.92600000,-6394.44000000
0.02395833,1.73395600,-1.45887200,12.07285000,-193.00450000,-9506.60700000,68690.11000000,-3.58414200,2.73142300,16.38580000,-97.76214000,-1139.73900000,1295.73400000,-5.22154900,-3.88303900,11.17428000,-11.52463000,2732.31400000,-5042.18500000
0.02500000,1.73643200,-1.60045100,1.77433900,-102.73780000,-2349.71400000,67949.49000000,-3.56126800,2.62591000,16.46629000,-76.50475000,2478.52800000,23222.98000000,-5.20101400,-3.89737300,14.84176000,-15.50016000,7194.33300000,49.67742000
0.02604167,1.73765300,-1.67290900,7.48836000,-52.54878000,1154.56600000,41609.96000000,-3.54983700,2.57203900,18.15778000,-43.03429000,-4438.13300000,32373.20000000,-5.19062900,-3.91533100,21.85284000,-12.30375000,2073.20000000,4951.37700000
0.02708333,1.75203200,-1.70992800,7.03718000,-18.38122000,636.28630000,28526.34000000,-3.52344000,2.53625500,11.96786000,-13.15016000,-6517.14400000,30783.63000000,-5.15548700,-3.92300600,24.56268000,-4.00633000,-4777.96300000,4434.99600000
0.02812500,1.75231300,-1.71120300,5.26450500,8.03109500,-1708.90500000,17588.17000000,-3.52490400,2.54464200,-0.40930950,23.68282000,-7943.44200000,19272.42000000,-5.13945700,-3.92367700,8.55628000,-2.53829400,-11256.03000000,2511.40900000
0.02916667,1.76300000,-1.69319700,6.41940400,18.30797000,-2710.69100000,3844.58400000,-3.52429200,2.58559400,-2.01408200,29.79722000,-2351.55600000,-4498.56100000,-5.13766200,-3.92829400,0.62740890,-0.37504640,-6863.61800000,2480.24800000
0.03020833,1.76568700,-1.67306100,-1.59682500,15.55046000,-1582.15200000,-32102.32000000,-3.52910000,2.60672000,-5.99668000,10.72416000,-756.59890000,-35379.71000000,-5.13815000,-3.92445900,-4.50349300,4.01142000,-1391.12100000,116.75860000
